connection.methods 2023-02-17 12:49:13,476 INFO Testing the custom logger for module connection.methods...
connection.methods 2023-02-17 12:49:16,439 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.242856
connection.methods 2023-02-17 12:49:16,440 INFO last_end_price: 1666.24
connection.methods 2023-02-17 12:49:17,199 INFO get_ticker_price: 1666.24
connection.methods 2023-02-17 12:49:17,200 INFO total var: 0.0033000000000000004
connection.methods 2023-02-17 12:49:18,310 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.243432
connection.methods 2023-02-17 12:49:18,311 INFO last_end_price: 1666.24
connection.methods 2023-02-17 12:49:19,076 INFO get_ticker_price: 1666.24
connection.methods 2023-02-17 12:49:19,077 INFO total var: 0.0033000000000000004
connection.methods 2023-02-17 12:49:20,715 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.762043
connection.methods 2023-02-17 12:49:20,716 INFO last_end_price: 1666.24
connection.methods 2023-02-17 12:49:20,965 INFO get_ticker_price: 1666.24
connection.methods 2023-02-17 12:49:20,966 INFO total var: 0.0033000000000000004
connection.methods 2023-02-17 12:49:22,606 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.761279
connection.methods 2023-02-17 12:49:22,607 INFO last_end_price: 1666.24
connection.methods 2023-02-17 12:49:23,372 INFO get_ticker_price: 1666.24
connection.methods 2023-02-17 12:49:23,372 INFO total var: 0.0033000000000000004
connection.methods 2023-02-17 12:49:23,959 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.243407
connection.methods 2023-02-17 12:49:23,959 INFO last_end_price: 1666.24
connection.methods 2023-02-17 12:49:24,299 INFO get_ticker_price: 1666.24
connection.methods 2023-02-17 12:49:24,300 INFO total var: 0.0033000000000000004
connection.methods 2023-02-17 12:49:25,023 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.241428
connection.methods 2023-02-17 12:49:25,024 INFO last_end_price: 1666.24
connection.methods 2023-02-17 12:49:25,266 INFO get_ticker_price: 1666.71
connection.methods 2023-02-17 12:49:25,266 INFO total var: 0.0033000000000000004
connection.methods 2023-02-17 12:49:25,856 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.241427
connection.methods 2023-02-17 12:49:25,857 INFO last_end_price: 1666.71
connection.methods 2023-02-17 12:49:26,100 INFO get_ticker_price: 1666.71
connection.methods 2023-02-17 12:49:26,100 INFO total var: 0.0031
connection.methods 2023-02-17 12:49:26,697 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.244828
connection.methods 2023-02-17 12:49:26,698 INFO last_end_price: 1666.71
connection.methods 2023-02-17 12:49:26,938 INFO get_ticker_price: 1666.70
connection.methods 2023-02-17 12:49:26,938 INFO total var: 0.0031
connection.methods 2023-02-17 12:49:27,531 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.242321
connection.methods 2023-02-17 12:49:27,531 INFO last_end_price: 1666.71
connection.methods 2023-02-17 12:49:27,773 INFO get_ticker_price: 1666.73
connection.methods 2023-02-17 12:49:27,774 INFO total var: 0.0031
connection.methods 2023-02-17 12:49:28,364 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.240998
connection.methods 2023-02-17 12:49:28,364 INFO last_end_price: 1666.7
connection.methods 2023-02-17 12:49:28,613 INFO get_ticker_price: 1666.73
connection.methods 2023-02-17 12:49:28,613 INFO total var: 0.0031
connection.methods 2023-02-17 12:49:29,201 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.240162
connection.methods 2023-02-17 12:49:29,202 INFO last_end_price: 1666.73
connection.methods 2023-02-17 12:49:29,449 INFO get_ticker_price: 1666.73
connection.methods 2023-02-17 12:49:29,450 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:30,048 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.239987
connection.methods 2023-02-17 12:49:30,049 INFO last_end_price: 1666.73
connection.methods 2023-02-17 12:49:30,290 INFO get_ticker_price: 1666.73
connection.methods 2023-02-17 12:49:30,290 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:30,904 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.262491
connection.methods 2023-02-17 12:49:30,904 INFO last_end_price: 1666.73
connection.methods 2023-02-17 12:49:31,168 INFO get_ticker_price: 1666.70
connection.methods 2023-02-17 12:49:31,169 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:31,756 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.241236
connection.methods 2023-02-17 12:49:31,758 INFO last_end_price: 1666.7
connection.methods 2023-02-17 12:49:31,999 INFO get_ticker_price: 1666.70
connection.methods 2023-02-17 12:49:32,000 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:32,592 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.242916
connection.methods 2023-02-17 12:49:32,593 INFO last_end_price: 1666.7
connection.methods 2023-02-17 12:49:32,831 INFO get_ticker_price: 1666.66
connection.methods 2023-02-17 12:49:32,831 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:33,419 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.243353
connection.methods 2023-02-17 12:49:33,419 INFO last_end_price: 1666.7
connection.methods 2023-02-17 12:49:33,659 INFO get_ticker_price: 1666.66
connection.methods 2023-02-17 12:49:33,660 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:34,255 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.244848
connection.methods 2023-02-17 12:49:34,256 INFO last_end_price: 1666.66
connection.methods 2023-02-17 12:49:34,500 INFO get_ticker_price: 1666.66
connection.methods 2023-02-17 12:49:34,500 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:35,095 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.238122
connection.methods 2023-02-17 12:49:35,096 INFO last_end_price: 1666.66
connection.methods 2023-02-17 12:49:35,338 INFO get_ticker_price: 1666.66
connection.methods 2023-02-17 12:49:35,338 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:35,929 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.243997
connection.methods 2023-02-17 12:49:35,929 INFO last_end_price: 1666.66
connection.methods 2023-02-17 12:49:36,171 INFO get_ticker_price: 1666.66
connection.methods 2023-02-17 12:49:36,172 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:36,766 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.240067
connection.methods 2023-02-17 12:49:36,766 INFO last_end_price: 1666.66
connection.methods 2023-02-17 12:49:37,007 INFO get_ticker_price: 1666.66
connection.methods 2023-02-17 12:49:37,007 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:37,595 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.240757
connection.methods 2023-02-17 12:49:37,596 INFO last_end_price: 1666.66
connection.methods 2023-02-17 12:49:37,834 INFO get_ticker_price: 1666.64
connection.methods 2023-02-17 12:49:37,835 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:38,429 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.244775
connection.methods 2023-02-17 12:49:38,431 INFO last_end_price: 1666.66
connection.methods 2023-02-17 12:49:38,676 INFO get_ticker_price: 1666.64
connection.methods 2023-02-17 12:49:38,677 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:39,269 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.240601
connection.methods 2023-02-17 12:49:39,270 INFO last_end_price: 1666.64
connection.methods 2023-02-17 12:49:39,516 INFO get_ticker_price: 1666.64
connection.methods 2023-02-17 12:49:39,516 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:40,110 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.244282
connection.methods 2023-02-17 12:49:40,111 INFO last_end_price: 1666.64
connection.methods 2023-02-17 12:49:40,358 INFO get_ticker_price: 1666.64
connection.methods 2023-02-17 12:49:40,359 INFO total var: 0.0032
connection.methods 2023-02-17 12:49:40,960 INFO Get kline data ETH 'linear' Elapsed Time : 0:00:00.245800
connection.methods 2023-02-17 12:49:40,961 INFO last_end_price: 1666.64
